CVE,funcname,succeed,tp,tn,fp,fn,precision,recall,f1_score,false_positive,false_negative,failed_versions,func_not_found,target,no_sig
CVE-2020-20446,psy_3gpp_analyze_channel,3,0,3,0,1,0.0000,0.0000,0.0000,4.2,,,,4,
CVE-2020-20448,encode_q_branch,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.1.3;4.0.5;3.4.7;4.2.2,,4,
CVE-2020-20453,aac_encode_frame,2,0,2,0,0,0.0000,0.0000,0.0000,,,4.2;3.4.9,,4,
CVE-2020-20896,latm_write_packet,0,0,0,0,0,0.0000,0.0000,0.0000,,,4.2.1;4.1.9;4.2.6;4.3,,4,
CVE-2020-20898,filter16_prewitt,1,1,0,0,0,1.0000,1.0000,1.0000,,,4.3,,2,
CVE-2020-20898,filter16_roberts,1,1,0,0,0,1.0000,1.0000,1.0000,,,4.3,,2,
CVE-2020-20898,filter16_sobel,1,1,0,0,0,1.0000,1.0000,1.0000,,,4.3,,2,
CVE-2020-20898,filter_prewitt,1,1,0,0,0,1.0000,1.0000,1.0000,,,4.3,,2,
CVE-2020-20898,filter_roberts,1,1,0,0,0,1.0000,1.0000,1.0000,,,4.3,,2,
CVE-2020-20898,filter_sobel,1,1,0,0,0,1.0000,1.0000,1.0000,,,4.3,,2,
CVE-2020-21697,remove_decoded_packets,2,0,2,0,1,0.0000,0.0000,0.0000,4.2,,,,3,
CVE-2020-21697,mpeg_mux_write_packet,1,0,1,0,0,0.0000,0.0000,0.0000,,,4.2;4.3.3,,3,
CVE-2020-22015,mov_write_video_tag,2,1,1,0,0,1.0000,1.0000,1.0000,,,,4.1.7;3.4.9,4,
CVE-2020-22017,oscilloscope_filter_frame,1,1,0,2,0,0.3333,1.0000,0.5000,,4.1.8;4.3,,,3,
CVE-2020-22019,ff_vmafmotion_init,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2020-22024,lagfun_frame16,1,1,0,0,0,1.0000,1.0000,1.0000,,,4.3,,2,
CVE-2020-22029,slice_get_derivative,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,3,true
CVE-2020-22037,ff_frame_thread_encoder_init,2,1,1,2,0,0.3333,1.0000,0.5000,,4.1.7;4.2.5,,,4,
CVE-2020-22038,v4l2_m2m_destroy_context,2,1,1,0,0,1.0000,1.0000,1.0000,,,,,2,
CVE-2020-22038,ff_v4l2_m2m_codec_end,2,1,1,0,0,1.0000,1.0000,1.0000,,,,,2,
