cve,succeed,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2017-12893,3,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12894,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12895,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12896,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12897,2,,4.9.3,4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-12898,3,,4.9.3,4.99.0-bp;4.99-bp,6,
CVE-2017-12899,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12901,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12902,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12985,3,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-12987,3,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-12988,2,4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2017-12989,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12990,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12991,2,4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2017-12992,6,,,,6,
CVE-2017-12993,3,,4.9.3,4.99.0-bp;4.99-bp,6,
CVE-2017-12994,6,,,,6,
CVE-2017-12995,4,,,4.99.0-bp;4.99-bp,6,
CVE-2017-12996,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12997,3,,4.9.3,4.99.0-bp;4.99-bp,6,
CVE-2017-12998,2,,,4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12999,2,4.9.1,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13000,1,4.9.1;4.9.0;4.8.1,,4.99.0-bp;4.99-bp,6,
CVE-2017-13001,6,,,,6,
CVE-2017-13002,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13003,6,,,,6,
CVE-2017-13004,3,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13005,3,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13006,0,,,,6,true
CVE-2017-13007,6,,,,6,
CVE-2017-13008,3,,,4.9.1;4.9.0;4.8.1,6,
CVE-2017-13009,5,4.8.1,,,6,
CVE-2017-13011,6,,,,6,
CVE-2017-13012,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13013,3,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13014,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13015,2,4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2017-13016,3,,,4.9.1;4.9.0;4.8.1,6,
CVE-2017-13017,1,4.9.1;4.9.0;4.8.1,4.99.0-bp;4.99-bp,,6,
CVE-2017-13018,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13019,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13020,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13021,2,4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2017-13022,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13023,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13024,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13025,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13026,3,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13027,4,,,4.99.0-bp;4.99-bp,6,
CVE-2017-13028,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13029,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13030,5,,,4.8.1,6,
CVE-2017-13031,3,,,4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-13032,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13033,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13034,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13035,6,,,,6,
CVE-2017-13036,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13037,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13038,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13039,6,,,,6,
CVE-2017-13040,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13041,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13042,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13043,3,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13044,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13045,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13046,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13047,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13048,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13049,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13050,5,,4.9.3,,6,
CVE-2017-13051,1,,,4.9.1;4.9.0;4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-13052,5,,,4.8.1,6,
CVE-2017-13053,3,,,4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-13054,6,,,,6,
CVE-2017-13055,3,4.8.1,,4.99.0-bp;4.99-bp,6,
CVE-2017-13687,4,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13688,3,4.8.1,,4.99.0-bp;4.99-bp,6,
CVE-2017-13689,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13690,3,,,4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-13725,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14461,3,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14462,4,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14463,4,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14464,2,,4.99.0-bp;4.99-bp,4.9.1;4.9.0,6,
CVE-2018-14465,1,4.9.2;4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2018-14466,3,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14467,4,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14468,4,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14469,4,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14470,1,,,4.9.2;4.9.1;4.9.0;4.99.0-bp;4.99-bp,6,
CVE-2018-14881,4,,4.99.0-bp;4.99-bp,,6,
CVE-2019-15166,1,,4.99.0-bp;4.99-bp,4.9.1;4.9.0;4.9.3,6,
CVE-2019-15167,4,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14880,4,,,4.99.0-bp;4.99-bp,6,
CVE-2018-14882,3,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-16227,4,,4.99.0-bp;4.99-bp,,6,
CVE-2018-16228,6,,,,6,
CVE-2018-16229,1,4.9.2;4.9.1;4.9.0,,4.99.0-bp;4.99-bp,6,
CVE-2018-16230,1,4.9.2;4.9.1;4.9.0,,4.99.0-bp;4.99-bp,6,
CVE-2018-16300,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-16451,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-16452,3,,,4.9.3;4.99.0-bp;4.99-bp,6,
