cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2016-6153,0,0,0,0,0,0.0000,0.0000,0.0000,5,,,,5
CVE-2018-20346,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2019-19242,3,0,3,0,0,0.0000,0.0000,0.0000,2,,,,5
CVE-2019-19244,1,1,0,0,3,1.0000,0.2500,0.4000,0,,3.31.0;3.31.1;3.32.0,,4
CVE-2019-19317,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2019-19645,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2019-19646,3,3,0,0,3,1.0000,0.5000,0.6667,0,,3.31.0;3.31.1;3.32.0,,6
CVE-2019-19880,1,1,0,0,3,1.0000,0.2500,0.4000,0,,3.31.0;3.31.1;3.32.0,,4
CVE-2019-19923,1,1,0,0,3,1.0000,0.2500,0.4000,0,,3.31.0;3.31.1;3.32.0,,4
CVE-2019-19924,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2019-19925,4,1,3,0,0,1.0000,1.0000,1.0000,0,,,,4
CVE-2019-19926,1,1,0,0,3,1.0000,0.2500,0.4000,0,,3.31.0;3.31.1;3.32.0,,4
CVE-2019-19959,3,0,3,0,0,0.0000,0.0000,0.0000,2,,,,5
CVE-2019-20218,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2019-8457,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2020-11655,3,3,0,0,3,1.0000,0.5000,0.6667,0,,3.32.0;3.32.1;3.32.2,,6
CVE-2020-11656,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2020-13434,3,3,0,0,3,1.0000,0.5000,0.6667,0,,3.32.1;3.32.2;3.32.3,,6
CVE-2020-13630,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2020-13632,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2020-15358,3,3,0,0,0,1.0000,1.0000,1.0000,3,,,,6
CVE-2020-35525,1,1,0,0,3,1.0000,0.2500,0.4000,0,,3.32.0;3.32.1;3.32.2,,4
CVE-2020-35527,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2021-31239,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2021-36690,4,1,3,0,0,1.0000,1.0000,1.0000,0,,,,4
CVE-2022-46908,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
