cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2017-12448,0,0,0,0,0,0.0000,0.0000,0.0000,5,,,,5
CVE-2017-12799,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.29;2.29.1;2.30;2.31,4
CVE-2017-12967,1,1,0,0,3,1.0000,0.2500,0.4000,0,,2.29.1;2.30;2.31,,4
CVE-2017-13710,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.29;2.29.1;2.30;2.31,4
CVE-2017-13757,0,0,0,0,0,0.0000,0.0000,0.0000,5,,,,5
CVE-2017-14128,1,0,1,0,0,0.0000,0.0000,0.0000,3,,,,4
CVE-2017-14129,1,1,0,0,3,1.0000,0.2500,0.4000,0,,2.29.1;2.30;2.31,,4
CVE-2017-14130,3,1,2,0,1,1.0000,0.5000,0.6667,0,,2.31,,4
CVE-2017-14529,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,2.29;2.29.1;2.30;2.31,4
CVE-2017-14729,2,2,0,0,3,1.0000,0.4000,0.5714,0,,2.29.1;2.30;2.31,,5
CVE-2017-14745,0,0,0,0,2,0.0000,0.0000,0.0000,0,,2.30;2.31,2.29;2.29.1,4
CVE-2017-14930,2,0,2,0,0,0.0000,0.0000,0.0000,2,,,,4
CVE-2017-14932,3,1,2,0,1,1.0000,0.5000,0.6667,0,,2.30,,4
CVE-2017-14933,2,1,1,0,2,1.0000,0.3333,0.5000,0,,2.31;2.31.1,,4
CVE-2017-14934,1,1,0,0,3,1.0000,0.2500,0.4000,0,,2.30;2.31;2.31.1,,4
CVE-2017-14938,3,1,2,0,1,1.0000,0.5000,0.6667,0,,,,3
CVE-2017-14939,1,0,1,0,1,0.0000,0.0000,0.0000,2,,,,3
CVE-2017-14940,3,0,3,1,0,0.0000,0.0000,0.0000,0,2.29,,,4
CVE-2017-14974,0,0,0,0,0,0.0000,0.0000,0.0000,5,,,,5
CVE-2017-15020,0,0,0,0,0,0.0000,0.0000,0.0000,5,,,,5
CVE-2017-15021,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,,4
CVE-2017-15022,0,0,0,0,0,0.0000,0.0000,0.0000,5,,,,5
CVE-2017-15023,2,1,1,0,2,1.0000,0.3333,0.5000,0,,2.31;2.31.1,,4
