cve,target,tp,tn,fp,fn,failed,succeed,failed_versions
CVE-2017-12896,6,1,3,0,2,0,4,
CVE-2017-12992,6,3,3,0,0,0,6,
CVE-2017-12993,6,1,3,0,0,2,4,4.99-bp;4.99.0-bp
CVE-2017-12995,6,1,3,0,0,2,4,4.99-bp;4.99.0-bp
CVE-2017-13001,6,3,3,0,0,0,6,
CVE-2017-13002,6,3,3,0,0,0,6,
CVE-2017-13003,6,3,3,0,0,0,6,
CVE-2017-13007,6,3,3,0,0,0,6,
CVE-2017-13030,6,3,3,0,0,0,6,
CVE-2017-13031,6,1,0,3,2,0,1,
CVE-2017-13035,6,3,3,0,0,0,6,
CVE-2017-13039,6,1,3,0,2,0,4,
CVE-2017-13050,6,3,3,0,0,0,6,
CVE-2017-13052,6,3,2,0,0,1,5,4.8.1
CVE-2017-13053,6,1,3,0,2,0,4,
CVE-2017-13687,6,3,3,0,0,0,6,
CVE-2017-13690,6,1,3,0,2,0,4,
CVE-2017-13725,6,3,3,0,0,0,6,
CVE-2018-16228,6,1,3,0,2,0,4,
CVE-2018-16300,6,3,0,3,0,0,3,
