cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,target,no_sig
CVE-2012-5134,0,0,0,0,0,,,2.9.0;2.8.0;2.8.0-rc2;2.9.1;2.9.2-rc1;2.9.2-rc2,6,
CVE-2013-0338,6,3,3,0,0,,,,6,
CVE-2013-0339,0,0,0,0,0,,,,6,true
CVE-2013-1969,0,0,0,0,0,,,,4,true
CVE-2014-3660,0,0,0,0,0,,,,6,true
CVE-2015-5312,0,0,0,0,0,,,,6,true
CVE-2015-7497,3,0,3,0,3,2.9.2;2.9.1;2.9.0,,,6,
CVE-2015-7498,0,0,0,0,0,,,,6,true
CVE-2015-7499,0,0,0,0,0,,,,6,true
CVE-2015-7500,0,0,0,0,0,,,,6,true
CVE-2015-7941,1,1,0,3,0,,2.9.3;2.9.4;2.9.5-rc1,,4,
CVE-2015-8241,0,0,0,0,0,,,,6,true
CVE-2015-8242,0,0,0,0,0,,,,6,true
CVE-2015-8317,0,0,0,0,0,,,,6,true
CVE-2015-8710,3,0,3,0,3,2.9.2;2.9.2-rc2;2.9.2-rc1,,,6,
CVE-2016-1762,0,0,0,0,0,,,2.9.3;2.9.2;2.9.2-rc2;2.9.4;2.9.5-rc1;2.9.5-rc2,6,
CVE-2016-1833,0,0,0,0,0,,,,6,true
CVE-2016-1834,0,0,0,0,0,,,,6,true
CVE-2016-1836,0,0,0,0,0,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,6,
CVE-2016-1837,0,0,0,0,0,,,,6,true
CVE-2016-1838,0,0,0,0,0,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,6,
CVE-2016-1840,0,0,0,0,0,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,6,
CVE-2016-4449,0,0,0,0,0,,,,6,true
CVE-2016-4483,0,0,0,0,0,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,6,
CVE-2016-4658,0,0,0,0,0,,,,6,true
CVE-2017-16931,0,0,0,0,0,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,6,
CVE-2017-16932,0,0,0,0,0,,,,6,true
CVE-2017-5130,0,0,0,0,0,,,,6,true
CVE-2017-7375,0,0,0,0,0,,,,6,true
CVE-2018-14404,0,0,0,0,0,,,2.9.8;2.9.7;2.9.7-rc1;2.9.9-rc1;2.9.9-rc2;2.9.9,6,
CVE-2019-19956,0,0,0,0,0,,,,6,true
CVE-2020-7595,0,0,0,0,0,,,,4,true
CVE-2022-23308,0,0,0,0,0,,,,6,true
CVE-2022-29824,0,0,0,0,0,,,2.9.13;2.9.11;2.9.12;2.10.0;2.10.1;2.10.2,6,
CVE-2022-40303,0,0,0,0,0,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,6,
CVE-2022-40304,3,3,0,0,0,,,2.10.4;2.11.0;2.11.1,6,
CVE-2023-28484,3,0,3,0,3,2.10.3;2.10.2;2.10.1,,,6,
