CVE,succeed,target
CVE-2012-5134,0,6
CVE-2013-0338,0,6
CVE-2013-0339,0,6
CVE-2013-1969,4,4
CVE-2014-3660,0,6
CVE-2015-5312,0,6
CVE-2015-7497,0,6
CVE-2015-7498,0,6
CVE-2015-7499,0,6
CVE-2015-7500,3,6
CVE-2015-7941,4,4
CVE-2015-8241,3,6
CVE-2015-8242,0,6
CVE-2015-8317,0,6
CVE-2015-8710,0,6
CVE-2016-1762,6,6
CVE-2016-1833,0,6
CVE-2016-1834,0,6
CVE-2016-1836,4,6
CVE-2016-1837,6,6
CVE-2016-1838,0,6
CVE-2016-1840,0,6
CVE-2016-4449,0,6
CVE-2016-4483,0,6
CVE-2016-4658,0,6
CVE-2017-16931,6,6
CVE-2017-16932,0,6
CVE-2017-5130,0,6
CVE-2017-7375,0,6
CVE-2018-14404,0,6
CVE-2019-19956,0,6
CVE-2020-7595,0,4
CVE-2022-23308,0,6
CVE-2022-29824,0,6
CVE-2022-40303,0,6
CVE-2022-40304,0,6
CVE-2023-28484,0,6
