CVE,succeed,failed,false_positive,false_negative,func_not_found,targets
CVE-2017-12893,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12894,3,3,,,,6
CVE-2017-12895,0,6,,,,6
CVE-2017-12896,0,6,,,,6
CVE-2017-12897,3,3,4.9.1;4.9.0;4.8.1,,,6
CVE-2017-12898,0,6,,,,6
CVE-2017-12899,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12901,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12902,0,6,,,,6
CVE-2017-12985,3,3,,,,6
CVE-2017-12987,0,6,,,,6
CVE-2017-12988,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12989,0,5,,,4.8.1,6
CVE-2017-12990,6,0,,,,6
CVE-2017-12991,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12992,1,5,,,,6
CVE-2017-12993,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12994,0,6,,,,6
CVE-2017-12995,2,2,,,4.99.0-bp;4.99-bp,6
CVE-2017-12996,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12997,0,6,,,,6
CVE-2017-12998,0,6,,,,6
CVE-2017-12999,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13000,0,6,,,,6
CVE-2017-13001,0,6,,,,6
CVE-2017-13002,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13003,1,5,4.9.1;4.9.0;4.8.1,,,6
CVE-2017-13004,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13005,4,2,,4.99.0-bp;4.99-bp,,6
CVE-2017-13006,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13007,0,6,,,,6
CVE-2017-13008,0,6,,,,6
CVE-2017-13009,0,6,,,,6
CVE-2017-13011,6,0,,,,6
CVE-2017-13012,0,6,,,,6
CVE-2017-13013,0,6,,,,6
CVE-2017-13014,1,5,,,,6
CVE-2017-13015,0,6,,,,6
CVE-2017-13016,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13017,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13018,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13019,0,6,,,,6
CVE-2017-13020,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
